category,profile,month,year,fb_followers,fb_number_likes,fb_number_comments,fb_number_posts,insta_followers,insta_number_comments,insta_number_posts,insta_number_likes,twitter_fans,twitter_number_posts,twitter_number_likes,twitter_retweets
Líderes Mundiais,Benjamin Netanyahu,8,19,2473382.0,827817.0,172110.0,128.0,696985.0,85067.0,112.0,1298237.0,1668173.0,151.0,545037.0,102533.0
Líderes Mundiais,Justin Trudeau,8,19,6758567.0,1025940.0,115390.0,101.0,,,,,4565451.0,434.0,522424.0,99989.0
Líderes Mundiais,Piñera,8,19,503749.0,79550.0,17634.0,42.0,447014.0,21381.0,38.0,339565.0,2242759.0,41.0,43168.0,14643.0
Líderes Mundiais,Boris Johnson,8,19,633865.0,371127.0,77734.0,69.0,,,,,985444.0,156.0,1139181.0,220429.0
Líderes Mundiais,Evo Morales,8,19,571181.0,351857.0,70251.0,78.0,55903.0,10017.0,24.0,67679.0,581699.0,362.0,290140.0,158071.0
Líderes Mundiais,Scott Morrison,8,19,192781.0,120342.0,18669.0,39.0,69238.0,2018.0,11.0,45527.0,190876.0,49.0,35196.0,5129.0
Líderes Mundiais,Viktor Orbán,8,19,652064.0,59248.0,3191.0,9.0,,,,,36778.0,0.0,0.0,0.0
Líderes Mundiais,Pedro Sánchez,8,19,265169.0,75614.0,18260.0,46.0,,,,,1075569.0,104.0,151626.0,44340.0
Líderes Mundiais,Narendra Modi,9,19,44354140.0,4667415.0,541554.0,23.0,,,,,50498447.0,399.0,9933003.0,1510326.0
Líderes Mundiais,Donald Trump,9,19,24420035.0,15199694.0,1946072.0,375.0,,521331.0,86.0,21198059.0,65065318.0,787.0,34254953.0,8162434.0
